nr_dpus,input_size,transfer_type,cpu-dpu_time,dpu-cpu_time
16,393216,SERIAL,1.868,0.085
16,786432,PARALLEL,3.589,0.077
16,786432,BROADCAST,3.486,0.125
16,786432,SERIAL,3.656,0.08
17,16384,PARALLEL,0.172,0.088
17,16384,BROADCAST,0.176,0.066
17,16384,SERIAL,0.132,0.094
17,393216,PARALLEL,1.889,0.128
17,393216,BROADCAST,1.867,0.13
17,393216,SERIAL,1.819,0.106
17,786432,PARALLEL,3.575,0.118
17,786432,BROADCAST,4.068,0.197
17,786432,SERIAL,3.755,0.128
18,16384,PARALLEL,0.192,0.053
18,16384,BROADCAST,0.201,0.129
18,16384,SERIAL,0.217,0.125
18,393216,PARALLEL,1.961,0.11
18,393216,BROADCAST,2.225,0.088
18,393216,SERIAL,2.233,0.27
18,786432,PARALLEL,3.752,0.065
18,786432,BROADCAST,3.657,0.098
18,786432,SERIAL,4.567,0.137
19,16384,PARALLEL,0.193,0.067
19,16384,BROADCAST,0.212,0.074
19,16384,SERIAL,0.185,0.077
19,393216,PARALLEL,2.527,0.099
19,393216,BROADCAST,2.25,0.084
19,393216,SERIAL,2.002,0.067
19,786432,PARALLEL,3.696,0.066
19,786432,BROADCAST,4.1,0.056
19,786432,SERIAL,3.582,0.06
20,16384,PARALLEL,0.126,0.051
20,16384,BROADCAST,0.168,0.092
20,16384,SERIAL,0.164,0.091
20,393216,PARALLEL,2.06,0.124
20,393216,BROADCAST,2.167,0.124
20,393216,SERIAL,1.846,0.057
20,786432,PARALLEL,4.268,0.104
20,786432,BROADCAST,4.287,0.12
20,786432,SERIAL,4.128,0.085
21,16384,PARALLEL,0.284,0.152
21,16384,BROADCAST,0.192,0.068
21,16384,SERIAL,0.12,0.042
21,393216,PARALLEL,2.05,0.065
21,393216,BROADCAST,1.892,0.056
21,393216,SERIAL,2.091,0.053
21,786432,PARALLEL,4.179,0.066
21,786432,BROADCAST,3.598,0.073
21,786432,SERIAL,3.581,0.055
22,16384,PARALLEL,0.129,0.052
22,16384,BROADCAST,0.162,0.07
22,16384,SERIAL,0.151,0.075
22,393216,PARALLEL,2.094,0.098
22,393216,BROADCAST,1.771,0.093
22,393216,SERIAL,1.991,0.123
22,786432,PARALLEL,3.905,0.109
22,786432,BROADCAST,4.017,0.062
22,786432,SERIAL,4.444,0.061
23,16384,PARALLEL,0.186,0.089
23,16384,BROADCAST,0.175,0.064
23,16384,SERIAL,0.142,0.054
23,393216,PARALLEL,2.293,0.076
23,393216,BROADCAST,1.818,0.055
23,393216,SERIAL,2.364,0.082
23,786432,PARALLEL,3.635,0.054
23,786432,BROADCAST,3.605,0.12
23,786432,SERIAL,3.561,0.119
24,16384,PARALLEL,0.193,0.071
24,16384,BROADCAST,0.222,0.07
24,16384,SERIAL,0.189,0.097
24,393216,PARALLEL,2.051,0.076
24,393216,BROADCAST,1.93,0.043
24,393216,SERIAL,2.035,0.112
24,786432,PARALLEL,3.507,0.127
24,786432,BROADCAST,3.933,0.104
24,786432,SERIAL,3.708,0.112
25,16384,PARALLEL,0.193,0.124
25,16384,BROADCAST,0.168,0.09
25,16384,SERIAL,0.129,0.045
25,393216,PARALLEL,1.815,0.116
25,393216,BROADCAST,1.916,0.1
25,393216,SERIAL,1.99,0.123
25,786432,PARALLEL,3.77,0.124
25,786432,BROADCAST,3.752,0.122
25,786432,SERIAL,3.588,0.123
26,16384,PARALLEL,0.184,0.092
26,16384,BROADCAST,0.173,0.122
26,16384,SERIAL,0.174,0.103
26,393216,PARALLEL,1.809,0.13
26,393216,BROADCAST,1.882,0.132
26,393216,SERIAL,1.881,0.13
26,786432,PARALLEL,3.559,0.129
26,786432,BROADCAST,3.525,0.138
26,786432,SERIAL,3.75,0.067
27,16384,PARALLEL,0.161,0.055
27,16384,BROADCAST,0.129,0.045
27,16384,SERIAL,0.21,0.099
27,393216,PARALLEL,1.977,0.133
27,393216,BROADCAST,1.813,0.117
27,393216,SERIAL,1.919,0.094
27,786432,PARALLEL,4.048,0.122
27,786432,BROADCAST,3.546,0.105
27,786432,SERIAL,3.525,0.121
28,16384,PARALLEL,0.182,0.082
28,16384,BROADCAST,0.164,0.067
28,16384,SERIAL,0.167,0.111
28,393216,PARALLEL,2.008,0.074
28,393216,BROADCAST,1.838,0.129
28,393216,SERIAL,1.884,0.105
28,786432,PARALLEL,3.654,0.126
28,786432,BROADCAST,3.729,0.117
28,786432,SERIAL,3.601,0.097
29,16384,PARALLEL,0.161,0.114
29,16384,BROADCAST,0.142,0.068
29,16384,SERIAL,0.194,0.061
29,393216,PARALLEL,1.914,0.075
29,393216,BROADCAST,2.122,0.113
29,393216,SERIAL,2.301,0.129
29,786432,PARALLEL,4.306,0.076
29,786432,BROADCAST,3.818,0.071
29,786432,SERIAL,3.605,0.054
30,16384,PARALLEL,0.122,0.086
30,16384,BROADCAST,0.124,0.051
30,16384,SERIAL,0.174,0.09
30,393216,PARALLEL,2.274,0.075
30,393216,BROADCAST,2.032,0.138
30,393216,SERIAL,1.92,0.085
30,786432,PARALLEL,3.628,0.073
30,786432,BROADCAST,3.722,0.092
30,786432,SERIAL,3.714,0.108
31,16384,PARALLEL,0.209,0.124
31,16384,BROADCAST,0.166,0.121
31,16384,SERIAL,0.163,0.115
31,393216,PARALLEL,1.799,0.12
31,393216,BROADCAST,1.869,0.111
31,393216,SERIAL,1.819,0.129
31,786432,PARALLEL,3.588,0.132
31,786432,BROADCAST,3.672,0.137
31,786432,SERIAL,3.709,0.124
32,16384,PARALLEL,0.178,0.124
32,16384,BROADCAST,0.214,0.123
32,16384,SERIAL,0.182,0.101
32,393216,PARALLEL,1.977,0.103
32,393216,BROADCAST,2.009,0.069
32,393216,SERIAL,1.987,0.059
32,786432,PARALLEL,3.647,0.183
32,786432,BROADCAST,3.704,0.081
32,786432,SERIAL,3.648,0.063
33,16384,PARALLEL,0.146,0.066
33,16384,BROADCAST,0.137,0.045
33,16384,SERIAL,0.152,0.056
33,393216,PARALLEL,1.895,0.081
33,393216,BROADCAST,1.94,0.1
33,393216,SERIAL,1.839,0.127
33,786432,PARALLEL,3.689,0.125
33,786432,BROADCAST,3.68,0.099
33,786432,SERIAL,3.685,0.078
34,16384,PARALLEL,0.168,0.062
34,16384,BROADCAST,0.142,0.057
34,16384,SERIAL,0.139,0.087
34,393216,PARALLEL,2.245,0.083
34,393216,BROADCAST,2.366,0.081
34,393216,SERIAL,2.071,0.067
34,786432,PARALLEL,3.677,0.063
34,786432,BROADCAST,4.026,0.069
34,786432,SERIAL,3.598,0.079
35,16384,PARALLEL,0.152,0.057
35,16384,BROADCAST,0.136,0.049
35,16384,SERIAL,0.142,0.058
35,393216,PARALLEL,1.862,0.057
35,393216,BROADCAST,2.149,0.07
35,393216,SERIAL,2.07,0.082
35,786432,PARALLEL,3.825,0.066
35,786432,BROADCAST,3.959,0.082
35,786432,SERIAL,4.401,0.074
36,16384,PARALLEL,0.121,0.047
36,16384,BROADCAST,0.294,0.063
36,16384,SERIAL,0.13,0.051
36,393216,PARALLEL,2.291,0.09
36,393216,BROADCAST,2.022,0.094
36,393216,SERIAL,1.968,0.097
36,786432,PARALLEL,3.989,0.071
36,786432,BROADCAST,4.505,0.089
36,786432,SERIAL,3.624,0.08
37,16384,PARALLEL,0.204,0.089
37,16384,BROADCAST,0.188,0.083
37,16384,SERIAL,0.193,0.065
37,393216,PARALLEL,4.993,0.111
37,393216,BROADCAST,1.816,0.295
37,393216,SERIAL,1.885,0.047
37,786432,PARALLEL,3.7,0.055
37,786432,BROADCAST,3.618,0.056
37,786432,SERIAL,4.01,0.072
38,16384,PARALLEL,0.155,0.091
38,16384,BROADCAST,0.198,0.077
38,16384,SERIAL,0.19,0.124
38,393216,PARALLEL,2.035,0.129
38,393216,BROADCAST,1.911,0.128
38,393216,SERIAL,2.2,0.097
38,786432,PARALLEL,3.696,0.1
38,786432,BROADCAST,4.596,0.131
38,786432,SERIAL,3.64,0.128
39,16384,PARALLEL,0.19,0.111
39,16384,BROADCAST,0.197,0.134
39,16384,SERIAL,0.192,0.114
39,393216,PARALLEL,1.905,0.095
39,393216,BROADCAST,1.812,0.112
39,393216,SERIAL,1.984,0.132
39,786432,PARALLEL,3.574,0.13
39,786432,BROADCAST,3.725,0.131
39,786432,SERIAL,3.651,0.11
40,16384,PARALLEL,0.214,0.124
40,16384,BROADCAST,0.199,0.123
40,16384,SERIAL,0.169,0.121
40,393216,PARALLEL,1.978,0.152
40,393216,BROADCAST,1.894,0.125
40,393216,SERIAL,1.898,0.13
40,786432,PARALLEL,3.734,0.129
40,786432,BROADCAST,3.553,0.07
40,786432,SERIAL,3.816,0.127
41,16384,PARALLEL,0.201,0.116
41,16384,BROADCAST,0.192,0.111
41,16384,SERIAL,0.188,0.109
41,393216,PARALLEL,2.015,0.1
41,393216,BROADCAST,1.819,0.113
41,393216,SERIAL,1.847,0.127
41,786432,PARALLEL,3.591,0.127
41,786432,BROADCAST,3.495,0.114
41,786432,SERIAL,3.542,0.124
42,16384,PARALLEL,0.194,0.103
42,16384,BROADCAST,0.147,0.079
42,16384,SERIAL,0.199,0.091
42,393216,PARALLEL,1.968,0.125
42,393216,BROADCAST,1.873,0.125
42,393216,SERIAL,1.871,0.126
42,786432,PARALLEL,3.788,0.142
42,786432,BROADCAST,3.606,0.123
42,786432,SERIAL,3.596,0.127
43,16384,PARALLEL,0.198,0.122
43,16384,BROADCAST,0.206,0.119
