config,total_cycles,total_instructions,instruction_throughput,insts_core_3,insts_core_0,insts_core_2,insts_core_1
FCFS,575729319,98257369,0.17066591149234142,20000003,27086770,24532088,26638508
FRFCFS,151317440,87676971,0.5794240967861999,20000001,23034900,21869685,22772385
ATLAS,322451159,93189427,0.2890032316491069,23563453,24790950,24835021,20000003
BLISS,155729151,88110448,0.5657929002643828,20000003,23175172,21985110,22950163
