config,total_cycles,total_instructions,instruction_throughput,insts_core_0
FCFS_low,5283028,20000003,3.7857083097042077,20000003
FRFCFS_low,5270639,20000003,3.7946068778377726,20000003
ATLAS_low,5270639,20000003,3.7946068778377726,20000003
BLISS_low,5270639,20000003,3.7946068778377726,20000003
