config,total_cycles,total_instructions,instruction_throughput,insts_core_3,insts_core_0,insts_core_2,insts_core_1
FCFS,251220161,1107140522,4.407052832037633,20000003,533582130,20172847,533385542
FRFCFS,77203898,542307104,7.024348744670897,20000003,250920376,20054749,251331976
ATLAS,115108764,840052397,7.297901287516214,26208375,396907035,20000003,396936984
BLISS,80053337,595423519,7.437835089872643,20020619,277801446,20000003,277601451
